id_invoice,tanggal,id_customer,nama_customer,kota,nama_produk,total_barang_terjual,total_pembelian,id_distributor,kategori_grup
IN6152,2022-01-31,CUST55512,"APOTEK SINAR JAYA",Bekasi,AMPICILLIN,10,106906.00,TD,Apotek
IN6153,2022-03-27,CUST55597,"APOTEK TAPAK",Aceh,"TETRACYCLINE KAPSUL 250 MG",18,71854.20,TD,Apotek
IN6154,2022-04-19,CUST55641,"APOTEK SAHABAT",Padang,"ALERGINE TABLET SALUT",12,28050.00,TA,Apotek
IN6155,2022-01-21,CUST55382,"KLINIK GM",Jakarta,AMPICILLIN,9,96215.40,TA,Klinik
IN6156,2022-04-07,CUST55608,"APOTEK MERDEKA",Bandung,"AMBROXOL HC",24,138736.80,TA,Apotek
IN6157,2022-04-12,CUST55613,"APOTEK MAJA",Kuningan,"TRAMADOL KAPSUL 50 MG",67,582946.90,TD,Apotek
IN6158,2022-05-01,CUST55699,"KLINIK SAHABAT",Tangerang,PARACETAMOL,14,97164.20,TA,Klinik
IN6159,2022-06-13,CUST55689,"KLINIK GM",Jakarta,PARACETAMOL,67,465000.10,TA,Klinik
IN6160,2022-05-27,CUST55672,"APOTEK TAPAK",Aceh,AMPICILLIN,5,53453.00,TA,Apotek
IN6161,2022-01-27,CUST55466,"KLINIK SAHABAT",Tangerang,"ACYCLOVIR DUS",24,110210.40,TA,Klinik
IN6162,2022-01-28,CUST55503,"APOTEK MERDEKA",Bandung,"TRAMADOL KAPSUL 50 MG",12,104408.40,TA,Apotek
IN6163,2022-01-30,CUST55421,"KLINIK SAHABAT",Tangerang,"ALERGINE TABLET SALUT",5,11687.50,TD,Klinik
IN6164,2022-03-08,CUST55578,"APOTEK MERDEKA",Bandung,"AMBROXOL HC",1,5780.70,EPM,Apotek
IN6165,2022-06-16,CUST55722,"APOTEK SINAR JAYA",Bekasi,AMPICILLIN,34,363480.40,TA,Apotek
IN6166,2022-05-30,CUST55675,"APOTEK MERDEKA",Bandung,"KETOCONAZOLE TABLET 200 MG",1,2819.20,TA,Apotek
IN6167,2022-01-28,CUST55491,"APOTEK SAHABAT",Padang,"ALERGINE TABLET SALUT",12,28050.00,EPM,Apotek
IN6168,2022-05-13,CUST55644,"KLINIK GM",Jakarta,"KLORPROMAZINA TABLET SALUT SELAPUT 100 MG",24,135559.20,TD,Klinik
IN6169,2022-05-20,CUST55665,"APOTEK TAPAK",Aceh,"KETOCONAZOLE TABLET 200 MG",67,188886.40,TA,Apotek
IN6170,2022-01-30,CUST55505,"APOTEK SINAR JAYA",Bekasi,"KETOCONAZOLE TABLET 200 MG",14,39468.80,TD,Apotek
IN6171,2022-02-03,CUST55545,"APOTEK TAPAK",Aceh,"KETOCONAZOLE TABLET 200 MG",25,70480.00,EPM,Apotek
IN6172,2022-01-28,CUST55497,"APOTEK SINAR JAYA",Bekasi,"ALERGINE TABLET SALUT",12,47902.80,EPM,Apotek
IN6173,2022-01-27,CUST55406,"KLINIK SAHABAT",Tangerang,"ACYCLOVIR DUS",12,55105.20,EPM,Klinik
IN6174,2022-04-17,CUST55618,"APOTEK SAHABAT",Padang,AMPICILLIN,9,52026.30,TA,Apotek
IN6175,2022-01-31,CUST55404,"KLINIK GM",Jakarta,"KLORPROMAZINA TABLET SALUT SELAPUT 100 MG",18,101669.40,TD,Klinik
IN6176,2022-01-30,CUST55403,"APOTEK MAJA",Kuningan,"TRAMADOL KAPSUL 50 MG",18,156612.60,EPM,Apotek
IN6177,2022-03-15,CUST55585,"APOTEK MERDEKA",Bandung,"KETOCONAZOLE TABLET 200 MG",17,47926.40,EPM,Apotek
IN6178,2022-05-02,CUST55695,"APOTEK TAPAK",Aceh,"KETOCONAZOLE TABLET 200 MG",18,50745.60,TA,Apotek
IN6179,2022-05-24,CUST55669,"KLINIK SAHABAT",Tangerang,PARACETAMOL,8,55522.40,EPM,Klinik
IN6180,2022-04-13,CUST55614,"KLINIK GM",Jakarta,"KLORPROMAZINA TABLET SALUT SELAPUT 100 MG",98,553533.40,TA,Klinik
IN6181,2022-02-07,CUST55549,"KLINIK SAHABAT",Tangerang,PARACETAMOL,130,902239.00,TD,Klinik
IN6182,2022-03-07,CUST55577,"KLINIK GM",Jakarta,"TETRACYCLINE KAPSUL 250 MG",13,51894.70,TA,Klinik
IN6183,2022-01-23,CUST55498,"APOTEK SAHABAT",Padang,AMPICILLIN,25,144517.50,TD,Apotek
IN6184,2022-01-28,CUST55395,"APOTEK TAPAK",Aceh,"KETOCONAZOLE TABLET 200 MG",25,70480.00,TA,Apotek
IN6185,2022-02-01,CUST55483,"APOTEK SAHABAT",Padang,"TRAMADOL KAPSUL 50 MG",9,78306.30,TA,Apotek
IN6186,2022-01-31,CUST55500,"APOTEK TAPAK",Aceh,"ACYCLOVIR DUS",18,21058.38,TA,Apotek
IN6187,2022-04-05,CUST55606,"APOTEK MAJA",Kuningan,"ERGOTAMINE COFFEINE",25,114802.50,TD,Apotek
IN6188,2022-01-27,CUST55454,"KLINIK DR. ANDRI",Lampung,"KLORPROMAZINA TABLET SALUT SELAPUT 100 MG",10,56483.00,TD,Klinik
IN6189,2022-03-04,CUST55574,"KLINIK DR. ANDRI",Lampung,"KLORPROMAZINA TABLET SALUT SELAPUT 100 MG",1,5648.30,TA,Klinik
IN6190,2022-01-23,CUST55390,"APOTEK MERDEKA",Bandung,"ACYCLOVIR DUS",2,2339.82,TD,Apotek
IN6191,2022-01-31,CUST55422,"APOTEK SINAR JAYA",Bekasi,AMPICILLIN,4,42762.40,TA,Apotek
IN6192,2022-05-14,CUST55645,"APOTEK MERDEKA",Bandung,"KETOCONAZOLE TABLET 200 MG",10,28192.00,TA,Apotek
IN6193,2022-03-18,CUST55588,"APOTEK SAHABAT",Padang,AMPICILLIN,12,69368.40,EPM,Apotek
IN6194,2022-04-18,CUST55658,"APOTEK MAJA",Kuningan,"AMBROXOL HC",25,144517.50,TA,Apotek
IN6195,2022-01-31,CUST55398,"APOTEK MERDEKA",Bandung,"AMBROXOL HC",67,387306.90,TA,Apotek
IN6196,2022-01-31,CUST55530,"APOTEK TAPAK",Aceh,"ACYCLOVIR DUS",45,52645.95,TA,Apotek
IN6197,2022-04-29,CUST55630,"APOTEK MERDEKA",Bandung,"ACYCLOVIR DUS",34,39776.94,TD,Apotek
IN6198,2022-06-04,CUST55680,"APOTEK TAPAK",Aceh,"ACYCLOVIR DUS",4,4679.64,EPM,Apotek
IN6199,2022-01-28,CUST55509,"KLINIK GM",Jakarta,PARACETAMOL,25,173507.50,TD,Klinik
IN6200,2022-01-28,CUST55473,"APOTEK MERDEKA",Bandung,"TRAMADOL KAPSUL 50 MG",5,43503.50,TA,Apotek
IN6201,2022-05-23,CUST55668,"APOTEK MERDEKA",Bandung,"AMBROXOL HC",4,23122.80,TA,Apotek
IN6202,2022-01-23,CUST55528,"APOTEK SAHABAT",Padang,AMPICILLIN,34,196543.80,EPM,Apotek
IN6203,2022-01-31,CUST55524,"KLINIK GM",Jakarta,"KLORPROMAZINA TABLET SALUT SELAPUT 100 MG",100,564830.00,EPM,Klinik
IN6204,2022-06-16,CUST55727,"KLINIK GM",Jakarta,"TETRACYCLINE KAPSUL 250 MG",34,135724.60,EPM,Klinik
IN6205,2022-01-27,CUST55520,"APOTEK SINAR JAYA",Bekasi,"ACYCLOVIR DUS",8,9359.28,TA,Apotek
IN6206,2022-03-12,CUST55582,"APOTEK TAPAK",Aceh,AMPICILLIN,23,245883.80,EPM,Apotek
IN6207,2022-04-04,CUST55605,"APOTEK TAPAK",Aceh,"KETOCONAZOLE TABLET 200 MG",12,33830.40,EPM,Apotek
IN6208,2022-01-30,CUST55475,"APOTEK SINAR JAYA",Bekasi,"KETOCONAZOLE TABLET 200 MG",8,22553.60,TD,Apotek
IN6209,2022-03-16,CUST55586,"KLINIK SAHABAT",Tangerang,"ACYCLOVIR DUS",11,50513.10,TD,Klinik
IN6210,2022-01-23,CUST55486,"APOTEK MAJA",Kuningan,"ERGOTAMINE COFFEINE",4,18368.40,TA,Apotek
IN6211,2022-02-01,CUST55501,"APOTEK MAJA",Kuningan,"ALERGINE TABLET SALUT",18,42075.00,EPM,Apotek
IN6212,2022-06-05,CUST55681,"APOTEK MAJA",Kuningan,"ALERGINE TABLET SALUT",2,4675.00,TD,Apotek
IN6213,2022-05-03,CUST55701,"APOTEK SAHABAT",Padang,"ALERGINE TABLET SALUT",22,51425.00,TD,Apotek
IN6214,2022-01-28,CUST55461,"APOTEK SAHABAT",Padang,"ALERGINE TABLET SALUT",21,49087.50,TD,Apotek
IN6215,2022-01-23,CUST55510,"APOTEK MERDEKA",Bandung,"ACYCLOVIR DUS",14,16378.74,TA,Apotek
IN6216,2022-01-23,CUST55456,"APOTEK MAJA",Kuningan,"ERGOTAMINE COFFEINE",98,450025.80,TA,Apotek
IN6217,2022-01-23,CUST55438,"APOTEK SAHABAT",Padang,AMPICILLIN,5,28903.50,TD,Apotek
IN6218,2022-04-17,CUST55639,"KLINIK SAHABAT",Tangerang,PARACETAMOL,21,145746.30,EPM,Klinik
IN6219,2022-01-27,CUST55436,"KLINIK SAHABAT",Tangerang,"ACYCLOVIR DUS",34,156131.40,TA,Klinik
IN6220,2022-01-23,CUST55444,"KLINIK SAHABAT",Tangerang,"KLORPROMAZINA TABLET SALUT SELAPUT 100 MG",48,271118.40,TD,Klinik
IN6221,2022-01-23,CUST55504,"KLINIK SAHABAT",Tangerang,"KLORPROMAZINA TABLET SALUT SELAPUT 100 MG",25,141207.50,EPM,Klinik
IN6222,2022-06-02,CUST55678,"APOTEK SAHABAT",Padang,AMPICILLIN,1,5780.70,TD,Apotek
IN6223,2022-05-02,CUST55633,"APOTEK SAHABAT",Padang,"TRAMADOL KAPSUL 50 MG",6,52204.20,TD,Apotek
IN6224,2022-02-17,CUST55559,"KLINIK DR. ANDRI",Lampung,"TRAMADOL KAPSUL 50 MG",22,152686.60,TD,Klinik
IN6225,2022-04-30,CUST55631,"KLINIK SAHABAT",Tangerang,"ALERGINE TABLET SALUT",44,102850.00,TA,Klinik
IN6226,2022-01-31,CUST55416,"APOTEK SAHABAT",Padang,"ERGOTAMINE COFFEINE",23,105618.30,EPM,Apotek
IN6227,2022-04-10,CUST55611,"APOTEK SAHABAT",Padang,"ALERGINE TABLET SALUT",12,28050.00,TA,Apotek
IN6228,2022-01-27,CUST55508,"APOTEK MAJA",Kuningan,"AMBROXOL HC",12,69368.40,TD,Apotek
IN6229,2022-03-05,CUST55575,"APOTEK TAPAK",Aceh,"KETOCONAZOLE TABLET 200 MG",5,14096.00,EPM,Apotek
IN6230,2022-01-28,CUST55413,"APOTEK MERDEKA",Bandung,"TRAMADOL KAPSUL 50 MG",14,121809.80,EPM,Apotek
IN6231,2022-02-21,CUST55563,"APOTEK MERDEKA",Bandung,"TRAMADOL KAPSUL 50 MG",24,208816.80,TD,Apotek
IN6232,2022-04-08,CUST55609,"KLINIK SAHABAT",Tangerang,PARACETAMOL,10,69403.00,EPM,Klinik
IN6233,2022-01-23,CUST55450,"APOTEK MERDEKA",Bandung,"ACYCLOVIR DUS",24,28077.84,EPM,Apotek
IN6234,2022-02-10,CUST55552,"APOTEK TAPAK",Aceh,AMPICILLIN,67,716270.20,TD,Apotek
IN6235,2022-01-30,CUST55451,"KLINIK SAHABAT",Tangerang,"ALERGINE TABLET SALUT",10,23375.00,TD,Klinik
IN6236,2022-06-08,CUST55684,"KLINIK SAHABAT",Tangerang,"KLORPROMAZINA TABLET SALUT SELAPUT 100 MG",12,67779.60,TD,Klinik
IN6237,2022-04-18,CUST55619,"KLINIK DR. ANDRI",Lampung,"TRAMADOL KAPSUL 50 MG",10,69403.00,EPM,Klinik
IN6238,2022-01-27,CUST55460,"APOTEK SINAR JAYA",Bekasi,"ACYCLOVIR DUS",9,10529.19,EPM,Apotek
IN6239,2022-03-02,CUST55572,"APOTEK SINAR JAYA",Bekasi,AMPICILLIN,8,85524.80,EPM,Apotek
IN6240,2022-01-30,CUST55541,"KLINIK SAHABAT",Tangerang,"ALERGINE TABLET SALUT",48,112200.00,EPM,Klinik
IN6241,2022-01-31,CUST55440,"APOTEK TAPAK",Aceh,"ACYCLOVIR DUS",79,92422.89,EPM,Apotek
IN6242,2022-01-23,CUST55534,"KLINIK SAHABAT",Tangerang,"KLORPROMAZINA TABLET SALUT SELAPUT 100 MG",44,248525.20,EPM,Klinik
IN6243,2022-02-01,CUST55525,"APOTEK MERDEKA",Bandung,"KETOCONAZOLE TABLET 200 MG",67,188886.40,TD,Apotek
IN6244,2022-01-31,CUST55542,"APOTEK SINAR JAYA",Bekasi,AMPICILLIN,21,224502.60,TD,Apotek
IN6245,2022-01-30,CUST55397,"KLINIK GM",Jakarta,"TETRACYCLINE KAPSUL 250 MG",34,135724.60,TD,Klinik
IN6246,2022-01-28,CUST55533,"APOTEK MERDEKA",Bandung,"TRAMADOL KAPSUL 50 MG",34,295823.80,TA,Apotek
IN6247,2022-01-28,CUST55425,"APOTEK TAPAK",Aceh,"KETOCONAZOLE TABLET 200 MG",10,28192.00,TA,Apotek
IN6248,2022-01-30,CUST55427,"KLINIK GM",Jakarta,"TETRACYCLINE KAPSUL 250 MG",100,399190.00,TD,Klinik
IN6249,2022-04-30,CUST55703,"APOTEK MAJA",Kuningan,"TRAMADOL KAPSUL 50 MG",25,217517.50,EPM,Apotek
IN6250,2022-03-17,CUST55587,"APOTEK SINAR JAYA",Bekasi,"ALERGINE TABLET SALUT",12,47902.80,TA,Apotek
IN6251,2022-01-23,CUST55387,"APOTEK TAPAK",Aceh,"TETRACYCLINE KAPSUL 250 MG",1,3991.90,TD,Apotek
IN6252,2022-05-18,CUST55649,"KLINIK DR. ANDRI",Lampung,"TRAMADOL KAPSUL 50 MG",67,465000.10,EPM,Klinik
IN6253,2022-01-28,CUST55431,"APOTEK SAHABAT",Padang,"ALERGINE TABLET SALUT",34,79475.00,TD,Apotek
IN6254,2022-02-02,CUST55544,"KLINIK DR. ANDRI",Lampung,"KLORPROMAZINA TABLET SALUT SELAPUT 100 MG",12,67779.60,TA,Klinik
IN6255,2022-01-31,CUST55446,"APOTEK SAHABAT",Padang,"ERGOTAMINE COFFEINE",22,101026.20,TA,Apotek
IN6256,2022-01-30,CUST55463,"APOTEK MAJA",Kuningan,"TRAMADOL KAPSUL 50 MG",12,104408.40,TA,Apotek
IN6257,2022-04-14,CUST55615,"APOTEK MERDEKA",Bandung,"KETOCONAZOLE TABLET 200 MG",5,14096.00,EPM,Apotek
IN6258,2022-01-27,CUST55484,"KLINIK DR. ANDRI",Lampung,"KLORPROMAZINA TABLET SALUT SELAPUT 100 MG",1,5648.30,EPM,Klinik
IN6259,2022-02-01,CUST55405,"APOTEK MERDEKA",Bandung,"KETOCONAZOLE TABLET 200 MG",19,53564.80,TA,Apotek
IN6260,2022-02-22,CUST55564,"KLINIK SAHABAT",Tangerang,"KLORPROMAZINA TABLET SALUT SELAPUT 100 MG",10,56483.00,TA,Klinik
IN6261,2022-02-05,CUST55547,"KLINIK GM",Jakarta,"TETRACYCLINE KAPSUL 250 MG",24,95805.60,TA,Klinik
IN6262,2022-01-28,CUST55419,"KLINIK GM",Jakarta,PARACETAMOL,67,465000.10,TA,Klinik
IN6263,2022-01-31,CUST55452,"APOTEK SINAR JAYA",Bekasi,AMPICILLIN,130,1389778.00,TA,Apotek
IN6264,2022-06-14,CUST55690,"APOTEK MERDEKA",Bandung,"ACYCLOVIR DUS",15,17548.65,EPM,Apotek
IN6265,2022-04-30,CUST55698,"APOTEK MERDEKA",Bandung,"AMBROXOL HC",25,144517.50,TD,Apotek
IN6266,2022-02-01,CUST55531,"APOTEK MAJA",Kuningan,"ALERGINE TABLET SALUT",34,79475.00,EPM,Apotek
IN6267,2022-02-01,CUST55459,"KLINIK SAHABAT",Tangerang,PARACETAMOL,8,55522.40,TA,Klinik
IN6268,2022-06-16,CUST55692,"APOTEK SINAR JAYA",Bekasi,AMPICILLIN,25,267265.00,TA,Apotek
IN6269,2022-02-01,CUST55453,"APOTEK SAHABAT",Padang,"TRAMADOL KAPSUL 50 MG",12,104408.40,EPM,Apotek
IN6270,2022-05-03,CUST55696,"APOTEK MAJA",Kuningan,"ERGOTAMINE COFFEINE",19,87249.90,EPM,Apotek
IN6271,2022-04-03,CUST55604,"KLINIK DR. ANDRI",Lampung,"KLORPROMAZINA TABLET SALUT SELAPUT 100 MG",22,124262.60,TA,Klinik
IN6272,2022-05-19,CUST55650,"APOTEK TAPAK",Aceh,"ACYCLOVIR DUS",98,114651.18,TD,Apotek
IN6273,2022-05-03,CUST55634,"KLINIK DR. ANDRI",Lampung,"KLORPROMAZINA TABLET SALUT SELAPUT 100 MG",79,446215.70,TD,Klinik
IN6274,2022-02-01,CUST55423,"APOTEK SAHABAT",Padang,"TRAMADOL KAPSUL 50 MG",8,69605.60,EPM,Apotek
IN6275,2022-02-26,CUST55568,"APOTEK MAJA",Kuningan,"AMBROXOL HC",67,387306.90,EPM,Apotek
IN6276,2022-01-30,CUST55481,"KLINIK SAHABAT",Tangerang,"ALERGINE TABLET SALUT",1,2337.50,TD,Klinik
IN6277,2022-04-28,CUST55629,"KLINIK GM",Jakarta,PARACETAMOL,34,235970.20,EPM,Klinik
IN6278,2022-01-30,CUST55499,"KLINIK DR. ANDRI",Lampung,"TRAMADOL KAPSUL 50 MG",14,97164.20,TD,Klinik
IN6279,2022-01-30,CUST55529,"KLINIK DR. ANDRI",Lampung,"TRAMADOL KAPSUL 50 MG",20,138806.00,TD,Klinik
IN6280,2022-01-23,CUST55384,"KLINIK SAHABAT",Tangerang,"KLORPROMAZINA TABLET SALUT SELAPUT 100 MG",1,5648.30,TD,Klinik
IN6281,2022-01-30,CUST55415,"APOTEK SINAR JAYA",Bekasi,"KETOCONAZOLE TABLET 200 MG",10,28192.00,TA,Apotek
IN6282,2022-05-28,CUST55673,"APOTEK MAJA",Kuningan,"TRAMADOL KAPSUL 50 MG",9,78306.30,EPM,Apotek
IN6283,2022-05-19,CUST55664,"KLINIK DR. ANDRI",Lampung,"KLORPROMAZINA TABLET SALUT SELAPUT 100 MG",10,56483.00,TD,Klinik
IN6284,2022-01-23,CUST55540,"APOTEK MERDEKA",Bandung,"ACYCLOVIR DUS",76,88913.16,TA,Apotek
IN6285,2022-05-15,CUST55646,"KLINIK SAHABAT",Tangerang,"ACYCLOVIR DUS",130,596973.00,EPM,Klinik
IN6286,2022-01-23,CUST55468,"APOTEK SAHABAT",Padang,AMPICILLIN,120,693684.00,TD,Apotek
IN6287,2022-01-30,CUST55391,"KLINIK SAHABAT",Tangerang,"ALERGINE TABLET SALUT",17,39737.50,TD,Klinik
IN6288,2022-06-06,CUST55682,"KLINIK GM",Jakarta,AMPICILLIN,17,181740.20,TA,Klinik
IN6289,2022-01-23,CUST55492,"APOTEK TAPAK",Aceh,AMPICILLIN,25,267265.00,TD,Apotek
IN6290,2022-03-22,CUST55592,"KLINIK GM",Jakarta,AMPICILLIN,67,716270.20,EPM,Klinik
IN6291,2022-02-01,CUST55489,"KLINIK SAHABAT",Tangerang,PARACETAMOL,11,76343.30,TD,Klinik
IN6292,2022-01-28,CUST55467,"APOTEK SINAR JAYA",Bekasi,"ALERGINE TABLET SALUT",10,39919.00,EPM,Apotek
IN6293,2022-02-01,CUST55519,"KLINIK SAHABAT",Tangerang,PARACETAMOL,4,27761.20,TD,Klinik
IN6294,2022-05-03,CUST55711,"APOTEK MAJA",Kuningan,"ALERGINE TABLET SALUT",98,229075.00,TD,Apotek
IN6295,2022-05-22,CUST55653,"APOTEK MERDEKA",Bandung,"TRAMADOL KAPSUL 50 MG",8,69605.60,EPM,Apotek
IN6296,2022-06-09,CUST55685,"APOTEK SINAR JAYA",Bekasi,"KETOCONAZOLE TABLET 200 MG",12,33830.40,TA,Apotek
IN6297,2022-01-20,CUST55381,"APOTEK MAJA",Kuningan,"ALERGINE TABLET SALUT",5,11687.50,TD,Apotek
IN6298,2022-05-21,CUST55652,"KLINIK GM",Jakarta,AMPICILLIN,4,42762.40,TA,Klinik
IN6299,2022-01-27,CUST55514,"KLINIK DR. ANDRI",Lampung,"KLORPROMAZINA TABLET SALUT SELAPUT 100 MG",12,67779.60,EPM,Klinik
IN6300,2022-02-01,CUST55507,"APOTEK TAPAK",Aceh,"TETRACYCLINE KAPSUL 250 MG",22,87821.80,EPM,Apotek
IN6301,2022-02-01,CUST55393,"APOTEK SAHABAT",Padang,"TRAMADOL KAPSUL 50 MG",12,104408.40,EPM,Apotek
IN6302,2022-02-23,CUST55565,"APOTEK SINAR JAYA",Bekasi,"KETOCONAZOLE TABLET 200 MG",120,338304.00,EPM,Apotek
IN6303,2022-01-28,CUST55539,"KLINIK GM",Jakarta,PARACETAMOL,95,659328.50,TD,Klinik
IN6304,2022-04-30,CUST55728,"APOTEK MERDEKA",Bandung,"AMBROXOL HC",44,254350.80,TD,Apotek
IN6305,2022-01-30,CUST55493,"APOTEK MAJA",Kuningan,"TRAMADOL KAPSUL 50 MG",14,121809.80,TA,Apotek
IN6306,2022-01-27,CUST55430,"APOTEK SINAR JAYA",Bekasi,"ACYCLOVIR DUS",45,52645.95,EPM,Apotek
IN6307,2022-01-23,CUST55396,"APOTEK MAJA",Kuningan,"ERGOTAMINE COFFEINE",14,64289.40,EPM,Apotek
IN6308,2022-01-23,CUST55516,"APOTEK MAJA",Kuningan,"ERGOTAMINE COFFEINE",67,307670.70,TD,Apotek
IN6309,2022-04-26,CUST55627,"APOTEK TAPAK",Aceh,"TETRACYCLINE KAPSUL 250 MG",45,179635.50,TD,Apotek
IN6310,2022-04-30,CUST55693,"APOTEK SAHABAT",Padang,"TRAMADOL KAPSUL 50 MG",14,121809.80,EPM,Apotek
IN6311,2022-01-23,CUST55426,"APOTEK MAJA",Kuningan,"ERGOTAMINE COFFEINE",7,32144.70,EPM,Apotek
IN6312,2022-05-02,CUST55725,"APOTEK TAPAK",Aceh,"KETOCONAZOLE TABLET 200 MG",34,95852.80,TD,Apotek
IN6313,2022-04-20,CUST55660,"APOTEK MERDEKA",Bandung,"ACYCLOVIR DUS",24,28077.84,TD,Apotek
IN6314,2022-01-28,CUST55527,"APOTEK SINAR JAYA",Bekasi,"ALERGINE TABLET SALUT",45,179635.50,TA,Apotek
IN6315,2022-04-21,CUST55643,"APOTEK MAJA",Kuningan,"TRAMADOL KAPSUL 50 MG",14,121809.80,TD,Apotek
IN6316,2022-04-19,CUST55662,"APOTEK SINAR JAYA",Bekasi,AMPICILLIN,120,1282872.00,TA,Apotek
IN6317,2022-01-23,CUST55522,"APOTEK TAPAK",Aceh,AMPICILLIN,10,106906.00,TD,Apotek
IN6318,2022-01-23,CUST55462,"APOTEK TAPAK",Aceh,AMPICILLIN,22,235193.20,TD,Apotek
IN6319,2022-02-11,CUST55553,"APOTEK MAJA",Kuningan,"TRAMADOL KAPSUL 50 MG",98,852668.60,TD,Apotek
IN6320,2022-02-01,CUST55495,"APOTEK MERDEKA",Bandung,"KETOCONAZOLE TABLET 200 MG",67,188886.40,TD,Apotek
IN6321,2022-01-31,CUST55410,"APOTEK TAPAK",Aceh,"ACYCLOVIR DUS",22,25738.02,EPM,Apotek
IN6322,2022-01-31,CUST55488,"APOTEK MERDEKA",Bandung,"AMBROXOL HC",17,98271.90,TD,Apotek
IN6323,2022-01-30,CUST55439,"KLINIK DR. ANDRI",Lampung,"TRAMADOL KAPSUL 50 MG",6,41641.80,TA,Klinik
IN6324,2022-06-10,CUST55686,"APOTEK SAHABAT",Padang,"ERGOTAMINE COFFEINE",25,114802.50,EPM,Apotek
IN6325,2022-01-28,CUST55521,"APOTEK SAHABAT",Padang,"ALERGINE TABLET SALUT",9,21037.50,EPM,Apotek
IN6326,2022-01-31,CUST55458,"APOTEK MERDEKA",Bandung,"AMBROXOL HC",4,23122.80,TD,Apotek
IN6327,2022-01-27,CUST55448,"APOTEK MAJA",Kuningan,"AMBROXOL HC",25,144517.50,TD,Apotek
