id_distributor,id_cabang,id_invoice,tanggal,id_customer,id_barang,jumlah_barang,unit,harga,mata_uang,brand_id,lini,id_penjualan
TD,CAB09,IN5978,2022-05-25,CUST55670,BRG0001,9,DUS,1169.91,IDR,BRND001,"OGB & PH",IN5978_BRG0001
TA,CAB01,IN5979,2022-03-28,CUST55598,BRG0009,18,DUS,5780.70,IDR,BRND009,VNS,IN5979_BRG0009
TA,CAB01,IN5980,2022-01-23,CUST55432,BRG0003,20,DUS,10690.60,IDR,BRND003,MARCKS,IN5980_BRG0003
EPM,CAB07,IN5981,2022-01-28,CUST55443,BRG0004,76,DUS,8700.70,IDR,BRND004,VNS,IN5981_BRG0004
TD,CAB09,IN5982,2022-01-30,CUST55535,BRG0006,5,DUS,2819.20,IDR,BRND006,"OGB & PH",IN5982_BRG0006
EPM,CAB06,IN5983,2022-04-21,CUST55622,BRG0003,67,DUS,10690.60,IDR,BRND003,MARCKS,IN5983_BRG0003
TD,CAB08,IN5984,2022-05-01,CUST55714,BRG0005,8,DUS,5648.30,IDR,BRND005,SLCYL,IN5984_BRG0005
TD,CAB09,IN5985,2022-04-18,CUST55640,BRG0001,22,DUS,1169.91,IDR,BRND001,"OGB & PH",IN5985_BRG0001
TA,CAB01,IN5986,2022-02-15,CUST55557,BRG0002,9,DUS,3991.90,IDR,BRND008,MARCKS,IN5986_BRG0002
EPM,CAB02,IN5987,2022-04-19,CUST55659,BRG0010,14,DUS,6940.30,IDR,BRND010,SLCYL,IN5987_BRG0010
EPM,CAB10,IN5988,2022-02-09,CUST55551,BRG0002,10,DUS,2337.50,IDR,BRND002,ETIKAL,IN5988_BRG0002
TA,CAB02,IN5989,2022-05-01,CUST55719,BRG0010,67,DUS,6940.30,IDR,BRND010,SLCYL,IN5989_BRG0010
TA,CAB01,IN5990,2022-05-03,CUST55706,BRG0001,10,DUS,4592.10,IDR,BRND007,ETIKAL,IN5990_BRG0001
TD,CAB08,IN5991,2022-01-23,CUST55414,BRG0005,24,DUS,5648.30,IDR,BRND005,SLCYL,IN5991_BRG0005
EPM,CAB01,IN5992,2022-06-16,CUST55707,BRG0002,23,DUS,3991.90,IDR,BRND008,MARCKS,IN5992_BRG0002
TD,CAB10,IN5993,2022-05-26,CUST55671,BRG0002,1,DUS,2337.50,IDR,BRND002,ETIKAL,IN5993_BRG0002
TD,CAB05,IN5994,2022-02-01,CUST55411,BRG0002,12,DUS,2337.50,IDR,BRND002,ETIKAL,IN5994_BRG0002
TD,CAB06,IN5995,2022-04-06,CUST55607,BRG0008,14,DUS,3991.90,IDR,BRND008,MARCKS,IN5995_BRG0008
EPM,CAB10,IN5996,2022-05-25,CUST55656,BRG0007,22,DUS,4592.10,IDR,BRND007,ETIKAL,IN5996_BRG0007
TD,CAB01,IN5997,2022-01-20,CUST55380,BRG0001,1,DUS,1169.91,IDR,BRND001,"OGB & PH",IN5997_BRG0001
TD,CAB09,IN5998,2022-04-09,CUST55610,BRG0001,23,DUS,1169.91,IDR,BRND001,"OGB & PH",IN5998_BRG0001
EPM,CAB01,IN5999,2022-05-01,CUST55632,BRG0003,5,DUS,10690.60,IDR,BRND003,MARCKS,IN5999_BRG0003
EPM,CAB01,IN6000,2022-06-16,CUST55717,BRG0008,7,DUS,3991.90,IDR,BRND008,MARCKS,IN6000_BRG0008
TD,CAB02,IN6001,2022-04-02,CUST55603,BRG0004,21,DUS,8700.70,IDR,BRND004,VNS,IN6001_BRG0004
TD,CAB05,IN6002,2022-02-04,CUST55546,BRG0007,14,DUS,4592.10,IDR,BRND007,ETIKAL,IN6002_BRG0007
TD,CAB03,IN6003,2022-01-27,CUST55424,BRG0005,9,DUS,5648.30,IDR,BRND005,SLCYL,IN6003_BRG0005
TA,CAB08,IN6004,2022-05-01,CUST55729,BRG0010,5,DUS,6940.30,IDR,BRND010,SLCYL,IN6004_BRG0010
EPM,CAB01,IN6005,2022-02-01,CUST55447,BRG0008,12,DUS,3991.90,IDR,BRND008,MARCKS,IN6005_BRG0008
TA,CAB02,IN6006,2022-02-12,CUST55554,BRG0005,5,DUS,5648.30,IDR,BRND005,SLCYL,IN6006_BRG0005
TD,CAB09,IN6007,2022-05-02,CUST55715,BRG0006,9,DUS,2819.20,IDR,BRND006,"OGB & PH",IN6007_BRG0006
TA,CAB03,IN6008,2022-01-30,CUST55469,BRG0004,12,DUS,6940.30,IDR,BRND010,SLCYL,IN6008_BRG0004
TD,CAB06,IN6009,2022-04-28,CUST55637,BRG0008,76,DUS,3991.90,IDR,BRND008,MARCKS,IN6009_BRG0008
EPM,CAB01,IN6010,2022-05-31,CUST55676,BRG0001,5,DUS,4592.10,IDR,BRND007,ETIKAL,IN6010_BRG0001
TA,CAB01,IN6011,2022-02-25,CUST55567,BRG0008,10,DUS,3991.90,IDR,BRND008,MARCKS,IN6011_BRG0008
TA,CAB06,IN6012,2022-06-16,CUST55712,BRG0003,5,DUS,10690.60,IDR,BRND003,MARCKS,IN6012_BRG0003
TD,CAB01,IN6013,2022-01-28,CUST55407,BRG0002,25,DUS,3991.90,IDR,BRND008,MARCKS,IN6013_BRG0002
TA,CAB05,IN6014,2022-03-21,CUST55591,BRG0002,34,DUS,2337.50,IDR,BRND002,ETIKAL,IN6014_BRG0002
TD,CAB01,IN6015,2022-01-31,CUST55482,BRG0003,5,DUS,10690.60,IDR,BRND003,MARCKS,IN6015_BRG0003
TD,CAB08,IN6016,2022-03-09,CUST55579,BRG0010,5,DUS,6940.30,IDR,BRND010,SLCYL,IN6016_BRG0010
TA,CAB02,IN6017,2022-02-01,CUST55513,BRG0004,23,DUS,8700.70,IDR,BRND004,VNS,IN6017_BRG0004
EPM,CAB01,IN6018,2022-04-01,CUST55602,BRG0003,14,DUS,10690.60,IDR,BRND003,MARCKS,IN6018_BRG0003
EPM,CAB02,IN6019,2022-04-20,CUST55663,BRG0004,12,DUS,8700.70,IDR,BRND004,VNS,IN6019_BRG0004
TA,CAB10,IN6020,2022-03-11,CUST55581,BRG0002,1,DUS,2337.50,IDR,BRND002,ETIKAL,IN6020_BRG0002
TD,CAB04,IN6021,2022-04-19,CUST55620,BRG0001,7,DUS,1169.91,IDR,BRND001,"OGB & PH",IN6021_BRG0001
TD,CAB08,IN6022,2022-05-23,CUST55654,BRG0005,9,DUS,5648.30,IDR,BRND005,SLCYL,IN6022_BRG0005
EPM,CAB08,IN6023,2022-02-01,CUST55399,BRG0010,15,DUS,6940.30,IDR,BRND010,SLCYL,IN6023_BRG0010
TD,CAB03,IN6024,2022-01-27,CUST55394,BRG0005,12,DUS,5648.30,IDR,BRND005,SLCYL,IN6024_BRG0005
TA,CAB01,IN6025,2022-01-30,CUST55523,BRG0004,7,DUS,8700.70,IDR,BRND004,VNS,IN6025_BRG0004
EPM,CAB02,IN6026,2022-02-16,CUST55558,BRG0003,21,DUS,5780.70,IDR,BRND009,VNS,IN6026_BRG0003
EPM,CAB01,IN6027,2022-04-11,CUST55612,BRG0003,10,DUS,10690.60,IDR,BRND003,MARCKS,IN6027_BRG0003
EPM,CAB03,IN6028,2022-01-23,CUST55420,BRG0001,98,DUS,1169.91,IDR,BRND001,"OGB & PH",IN6028_BRG0001
EPM,CAB09,IN6029,2022-01-28,CUST55389,BRG0010,4,DUS,6940.30,IDR,BRND010,SLCYL,IN6029_BRG0010
TA,CAB03,IN6030,2022-05-01,CUST55709,BRG0004,10,DUS,6940.30,IDR,BRND010,SLCYL,IN6030_BRG0004
TD,CAB01,IN6031,2022-04-15,CUST55616,BRG0001,4,DUS,4592.10,IDR,BRND007,ETIKAL,IN6031_BRG0001
TA,CAB03,IN6032,2022-06-03,CUST55679,BRG0004,23,DUS,6940.30,IDR,BRND010,SLCYL,IN6032_BRG0004
TD,CAB01,IN6033,2022-06-12,CUST55688,BRG0009,34,DUS,5780.70,IDR,BRND009,VNS,IN6033_BRG0009
TD,CAB06,IN6034,2022-02-20,CUST55562,BRG0003,14,DUS,10690.60,IDR,BRND003,MARCKS,IN6034_BRG0003
EPM,CAB10,IN6035,2022-04-25,CUST55626,BRG0007,20,DUS,4592.10,IDR,BRND007,ETIKAL,IN6035_BRG0007
TA,CAB08,IN6036,2022-01-27,CUST55388,BRG0009,23,DUS,5780.70,IDR,BRND009,VNS,IN6036_BRG0009
TD,CAB01,IN6037,2022-05-03,CUST55721,BRG0002,45,DUS,2337.50,IDR,BRND002,ETIKAL,IN6037_BRG0002
TA,CAB06,IN6038,2022-01-30,CUST55517,BRG0008,98,DUS,3991.90,IDR,BRND008,MARCKS,IN6038_BRG0008
EPM,CAB03,IN6039,2022-01-23,CUST55480,BRG0001,13,DUS,1169.91,IDR,BRND001,"OGB & PH",IN6039_BRG0001
EPM,CAB04,IN6040,2022-01-31,CUST55470,BRG0001,10,DUS,1169.91,IDR,BRND001,"OGB & PH",IN6040_BRG0001
TD,CAB03,IN6041,2022-02-28,CUST55570,BRG0001,5,DUS,1169.91,IDR,BRND001,"OGB & PH",IN6041_BRG0001
TD,CAB07,IN6042,2022-01-31,CUST55428,BRG0009,67,DUS,5780.70,IDR,BRND009,VNS,IN6042_BRG0009
TD,CAB09,IN6043,2022-03-10,CUST55580,BRG0001,9,DUS,1169.91,IDR,BRND001,"OGB & PH",IN6043_BRG0001
TD,CAB03,IN6044,2022-05-01,CUST55694,BRG0005,18,DUS,5648.30,IDR,BRND005,SLCYL,IN6044_BRG0005
TA,CAB10,IN6045,2022-01-31,CUST55506,BRG0007,21,DUS,4592.10,IDR,BRND007,ETIKAL,IN6045_BRG0007
TD,CAB01,IN6046,2022-06-15,CUST55691,BRG0002,12,DUS,2337.50,IDR,BRND002,ETIKAL,IN6046_BRG0002
TA,CAB04,IN6047,2022-04-26,CUST55635,BRG0006,12,DUS,2819.20,IDR,BRND006,"OGB & PH",IN6047_BRG0006
EPM,CAB02,IN6048,2022-01-31,CUST55464,BRG0005,25,DUS,5648.30,IDR,BRND005,SLCYL,IN6048_BRG0005
TA,CAB02,IN6049,2022-01-28,CUST55479,BRG0010,9,DUS,6940.30,IDR,BRND010,SLCYL,IN6049_BRG0010
TD,CAB02,IN6050,2022-01-31,CUST55434,BRG0005,34,DUS,5648.30,IDR,BRND005,SLCYL,IN6050_BRG0005
TD,CAB07,IN6051,2022-03-23,CUST55593,BRG0004,15,DUS,8700.70,IDR,BRND004,VNS,IN6051_BRG0004
TA,CAB05,IN6052,2022-01-23,CUST55385,BRG0006,5,DUS,2819.20,IDR,BRND006,"OGB & PH",IN6052_BRG0006
EPM,CAB01,IN6053,2022-01-28,CUST55437,BRG0002,44,DUS,3991.90,IDR,BRND008,MARCKS,IN6053_BRG0002
TD,CAB03,IN6054,2022-02-01,CUST55435,BRG0006,34,DUS,2819.20,IDR,BRND006,"OGB & PH",IN6054_BRG0006
TD,CAB01,IN6055,2022-03-13,CUST55583,BRG0004,4,DUS,8700.70,IDR,BRND004,VNS,IN6055_BRG0004
TA,CAB05,IN6056,2022-04-20,CUST55621,BRG0002,100,DUS,2337.50,IDR,BRND002,ETIKAL,IN6056_BRG0002
TA,CAB02,IN6057,2022-05-17,CUST55648,BRG0003,10,DUS,5780.70,IDR,BRND009,VNS,IN6057_BRG0003
TD,CAB06,IN6058,2022-01-27,CUST55532,BRG0003,34,DUS,10690.60,IDR,BRND003,MARCKS,IN6058_BRG0003
EPM,CAB07,IN6059,2022-06-07,CUST55683,BRG0004,11,DUS,8700.70,IDR,BRND004,VNS,IN6059_BRG0004
TD,CAB02,IN6060,2022-02-01,CUST55543,BRG0004,22,DUS,8700.70,IDR,BRND004,VNS,IN6060_BRG0004
TD,CAB10,IN6061,2022-02-24,CUST55566,BRG0007,12,DUS,4592.10,IDR,BRND007,ETIKAL,IN6061_BRG0007
TA,CAB09,IN6062,2022-01-27,CUST55490,BRG0001,12,DUS,1169.91,IDR,BRND001,"OGB & PH",IN6062_BRG0001
TD,CAB01,IN6063,2022-02-01,CUST55417,BRG0008,12,DUS,3991.90,IDR,BRND008,MARCKS,IN6063_BRG0008
TD,CAB04,IN6064,2022-01-28,CUST55515,BRG0006,10,DUS,2819.20,IDR,BRND006,"OGB & PH",IN6064_BRG0006
EPM,CAB08,IN6065,2022-01-23,CUST55474,BRG0005,4,DUS,5648.30,IDR,BRND005,SLCYL,IN6065_BRG0005
EPM,CAB01,IN6066,2022-01-27,CUST55538,BRG0009,12,DUS,5780.70,IDR,BRND009,VNS,IN6066_BRG0009
TD,CAB02,IN6067,2022-05-01,CUST55704,BRG0005,14,DUS,5648.30,IDR,BRND005,SLCYL,IN6067_BRG0005
TD,CAB10,IN6068,2022-01-31,CUST55536,BRG0007,6,DUS,4592.10,IDR,BRND007,ETIKAL,IN6068_BRG0007
TA,CAB01,IN6069,2022-03-01,CUST55571,BRG0002,4,DUS,2337.50,IDR,BRND002,ETIKAL,IN6069_BRG0002
TD,CAB04,IN6070,2022-01-28,CUST55485,BRG0006,23,DUS,2819.20,IDR,BRND006,"OGB & PH",IN6070_BRG0006
EPM,CAB05,IN6071,2022-04-27,CUST55636,BRG0007,95,DUS,4592.10,IDR,BRND007,ETIKAL,IN6071_BRG0007
EPM,CAB01,IN6072,2022-02-01,CUST55477,BRG0008,1,DUS,3991.90,IDR,BRND008,MARCKS,IN6072_BRG0008
TA,CAB01,IN6073,2022-04-27,CUST55628,BRG0009,34,DUS,5780.70,IDR,BRND009,VNS,IN6073_BRG0009
TD,CAB06,IN6074,2022-01-27,CUST55472,BRG0003,98,DUS,10690.60,IDR,BRND003,MARCKS,IN6074_BRG0003
TA,CAB07,IN6075,2022-04-16,CUST55638,BRG0009,48,DUS,5780.70,IDR,BRND009,VNS,IN6075_BRG0009
TA,CAB08,IN6076,2022-03-24,CUST55594,BRG0005,12,DUS,5648.30,IDR,BRND005,SLCYL,IN6076_BRG0005
TD,CAB01,IN6077,2022-05-16,CUST55647,BRG0002,12,DUS,3991.90,IDR,BRND008,MARCKS,IN6077_BRG0002
TD,CAB03,IN6078,2022-03-30,CUST55600,BRG0001,12,DUS,1169.91,IDR,BRND001,"OGB & PH",IN6078_BRG0001
EPM,CAB02,IN6079,2022-01-31,CUST55494,BRG0005,34,DUS,5648.30,IDR,BRND005,SLCYL,IN6079_BRG0005
TD,CAB10,IN6080,2022-03-26,CUST55596,BRG0007,14,DUS,4592.10,IDR,BRND007,ETIKAL,IN6080_BRG0007
TD,CAB03,IN6081,2022-03-19,CUST55589,BRG0004,25,DUS,6940.30,IDR,BRND010,SLCYL,IN6081_BRG0004
TD,CAB01,IN6082,2022-04-16,CUST55617,BRG0002,8,DUS,3991.90,IDR,BRND008,MARCKS,IN6082_BRG0002
EPM,CAB06,IN6083,2022-01-30,CUST55487,BRG0008,2,DUS,3991.90,IDR,BRND008,MARCKS,IN6083_BRG0008
TD,CAB05,IN6084,2022-02-01,CUST55471,BRG0002,67,DUS,2337.50,IDR,BRND002,ETIKAL,IN6084_BRG0002
TA,CAB01,IN6085,2022-03-31,CUST55601,BRG0002,25,DUS,2337.50,IDR,BRND002,ETIKAL,IN6085_BRG0002
TD,CAB02,IN6086,2022-01-23,CUST55408,BRG0003,14,DUS,5780.70,IDR,BRND009,VNS,IN6086_BRG0003
TA,CAB04,IN6087,2022-02-18,CUST55560,BRG0001,12,DUS,1169.91,IDR,BRND001,"OGB & PH",IN6087_BRG0001
EPM,CAB07,IN6088,2022-02-06,CUST55548,BRG0009,10,DUS,5780.70,IDR,BRND009,VNS,IN6088_BRG0009
EPM,CAB06,IN6089,2022-01-25,CUST55386,BRG0007,9,DUS,4592.10,IDR,BRND007,ETIKAL,IN6089_BRG0007
TA,CAB09,IN6090,2022-05-24,CUST55655,BRG0006,21,DUS,2819.20,IDR,BRND006,"OGB & PH",IN6090_BRG0006
TD,CAB01,IN6091,2022-06-11,CUST55687,BRG0008,14,DUS,3991.90,IDR,BRND008,MARCKS,IN6091_BRG0008
TA,CAB02,IN6092,2022-03-14,CUST55584,BRG0005,2,DUS,5648.30,IDR,BRND005,SLCYL,IN6092_BRG0005
TD,CAB02,IN6093,2022-05-29,CUST55674,BRG0005,13,DUS,5648.30,IDR,BRND005,SLCYL,IN6093_BRG0005
EPM,CAB04,IN6094,2022-05-02,CUST55710,BRG0001,67,DUS,1169.91,IDR,BRND001,"OGB & PH",IN6094_BRG0001
TD,CAB01,IN6095,2022-01-27,CUST55478,BRG0009,5,DUS,5780.70,IDR,BRND009,VNS,IN6095_BRG0009
EPM,CAB05,IN6096,2022-02-19,CUST55561,BRG0002,25,DUS,2337.50,IDR,BRND002,ETIKAL,IN6096_BRG0002
TD,CAB01,IN6097,2022-04-30,CUST55718,BRG0009,100,DUS,5780.70,IDR,BRND009,VNS,IN6097_BRG0009
EPM,CAB02,IN6098,2022-03-29,CUST55599,BRG0010,19,DUS,6940.30,IDR,BRND010,SLCYL,IN6098_BRG0010
EPM,CAB06,IN6099,2022-01-30,CUST55457,BRG0008,5,DUS,3991.90,IDR,BRND008,MARCKS,IN6099_BRG0008
TD,CAB01,IN6100,2022-06-01,CUST55677,BRG0002,9,DUS,3991.90,IDR,BRND008,MARCKS,IN6100_BRG0002
EPM,CAB02,IN6101,2022-04-30,CUST55723,BRG0004,20,DUS,8700.70,IDR,BRND004,VNS,IN6101_BRG0004
TA,CAB01,IN6102,2022-01-31,CUST55392,BRG0003,11,DUS,10690.60,IDR,BRND003,MARCKS,IN6102_BRG0003
TA,CAB01,IN6103,2022-01-27,CUST55496,BRG0001,15,DUS,4592.10,IDR,BRND007,ETIKAL,IN6103_BRG0001
EPM,CAB01,IN6104,2022-01-30,CUST55433,BRG0004,45,DUS,8700.70,IDR,BRND004,VNS,IN6104_BRG0004
EPM,CAB09,IN6105,2022-05-02,CUST55700,BRG0001,21,DUS,1169.91,IDR,BRND001,"OGB & PH",IN6105_BRG0001
EPM,CAB07,IN6106,2022-04-30,CUST55713,BRG0004,4,DUS,8700.70,IDR,BRND004,VNS,IN6106_BRG0004
EPM,CAB01,IN6107,2022-01-30,CUST55511,BRG0002,24,DUS,2337.50,IDR,BRND002,ETIKAL,IN6107_BRG0002
TA,CAB03,IN6108,2022-01-30,CUST55409,BRG0004,21,DUS,6940.30,IDR,BRND010,SLCYL,IN6108_BRG0004
TA,CAB01,IN6109,2022-06-16,CUST55702,BRG0003,12,DUS,10690.60,IDR,BRND003,MARCKS,IN6109_BRG0003
TD,CAB05,IN6110,2022-03-06,CUST55576,BRG0007,9,DUS,4592.10,IDR,BRND007,ETIKAL,IN6110_BRG0007
TD,CAB01,IN6111,2022-05-26,CUST55657,BRG0008,12,DUS,3991.90,IDR,BRND008,MARCKS,IN6111_BRG0008
TA,CAB05,IN6112,2022-05-03,CUST55726,BRG0007,34,DUS,4592.10,IDR,BRND007,ETIKAL,IN6112_BRG0007
TD,CAB09,IN6113,2022-01-27,CUST55400,BRG0001,12,DUS,1169.91,IDR,BRND001,"OGB & PH",IN6113_BRG0001
TD,CAB02,IN6114,2022-02-27,CUST55569,BRG0010,98,DUS,6940.30,IDR,BRND010,SLCYL,IN6114_BRG0010
TA,CAB10,IN6115,2022-05-03,CUST55716,BRG0007,10,DUS,4592.10,IDR,BRND007,ETIKAL,IN6115_BRG0007
TD,CAB04,IN6116,2022-01-28,CUST55455,BRG0006,67,DUS,2819.20,IDR,BRND006,"OGB & PH",IN6116_BRG0006
TD,CAB06,IN6117,2022-05-22,CUST55667,BRG0008,5,DUS,3991.90,IDR,BRND008,MARCKS,IN6117_BRG0008
TD,CAB06,IN6118,2022-01-27,CUST55502,BRG0003,19,DUS,10690.60,IDR,BRND003,MARCKS,IN6118_BRG0003
TA,CAB02,IN6119,2022-01-28,CUST55449,BRG0010,14,DUS,6940.30,IDR,BRND010,SLCYL,IN6119_BRG0010
TD,CAB03,IN6120,2022-02-01,CUST55465,BRG0006,14,DUS,2819.20,IDR,BRND006,"OGB & PH",IN6120_BRG0006
EPM,CAB05,IN6121,2022-05-21,CUST55666,BRG0007,98,DUS,4592.10,IDR,BRND007,ETIKAL,IN6121_BRG0007
TD,CAB09,IN6122,2022-01-30,CUST55445,BRG0006,21,DUS,2819.20,IDR,BRND006,"OGB & PH",IN6122_BRG0006
TD,CAB06,IN6123,2022-06-16,CUST55697,BRG0008,12,DUS,3991.90,IDR,BRND008,MARCKS,IN6123_BRG0008
TA,CAB06,IN6124,2022-01-27,CUST55442,BRG0003,95,DUS,10690.60,IDR,BRND003,MARCKS,IN6124_BRG0003
TA,CAB01,IN6125,2022-01-23,CUST55402,BRG0003,14,DUS,10690.60,IDR,BRND003,MARCKS,IN6125_BRG0003
TD,CAB08,IN6126,2022-04-23,CUST55624,BRG0005,45,DUS,5648.30,IDR,BRND005,SLCYL,IN6126_BRG0005
TA,CAB09,IN6127,2022-04-24,CUST55625,BRG0006,34,DUS,2819.20,IDR,BRND006,"OGB & PH",IN6127_BRG0006
TA,CAB01,IN6128,2022-02-01,CUST55537,BRG0008,79,DUS,3991.90,IDR,BRND008,MARCKS,IN6128_BRG0008
TD,CAB01,IN6129,2022-02-14,CUST55556,BRG0001,8,DUS,4592.10,IDR,BRND007,ETIKAL,IN6129_BRG0001
EPM,CAB07,IN6130,2022-01-31,CUST55518,BRG0009,5,DUS,5780.70,IDR,BRND009,VNS,IN6130_BRG0009
TD,CAB01,IN6131,2022-01-27,CUST55418,BRG0009,10,DUS,5780.70,IDR,BRND009,VNS,IN6131_BRG0009
TD,CAB02,IN6132,2022-04-30,CUST55708,BRG0003,12,DUS,5780.70,IDR,BRND009,VNS,IN6132_BRG0003
TA,CAB08,IN6133,2022-02-01,CUST55429,BRG0010,78,DUS,6940.30,IDR,BRND010,SLCYL,IN6133_BRG0010
TD,CAB05,IN6134,2022-02-01,CUST55441,BRG0002,12,DUS,2337.50,IDR,BRND002,ETIKAL,IN6134_BRG0002
TA,CAB09,IN6135,2022-02-08,CUST55550,BRG0001,12,DUS,1169.91,IDR,BRND001,"OGB & PH",IN6135_BRG0001
TD,CAB01,IN6136,2022-01-27,CUST55526,BRG0001,78,DUS,4592.10,IDR,BRND007,ETIKAL,IN6136_BRG0001
TD,CAB02,IN6137,2022-03-03,CUST55573,BRG0004,9,DUS,8700.70,IDR,BRND004,VNS,IN6137_BRG0004
TD,CAB01,IN6138,2022-04-18,CUST55661,BRG0002,10,DUS,2337.50,IDR,BRND002,ETIKAL,IN6138_BRG0002
TD,CAB07,IN6139,2022-04-22,CUST55623,BRG0004,78,DUS,8700.70,IDR,BRND004,VNS,IN6139_BRG0004
EPM,CAB09,IN6140,2022-03-25,CUST55595,BRG0006,25,DUS,2819.20,IDR,BRND006,"OGB & PH",IN6140_BRG0006
TD,CAB10,IN6141,2022-01-28,CUST55401,BRG0002,25,DUS,2337.50,IDR,BRND002,ETIKAL,IN6141_BRG0002
TD,CAB03,IN6142,2022-05-01,CUST55724,BRG0005,45,DUS,5648.30,IDR,BRND005,SLCYL,IN6142_BRG0005
TD,CAB03,IN6143,2022-05-02,CUST55705,BRG0006,24,DUS,2819.20,IDR,BRND006,"OGB & PH",IN6143_BRG0006
EPM,CAB03,IN6144,2022-01-22,CUST55383,BRG0004,13,DUS,8700.70,IDR,BRND004,VNS,IN6144_BRG0004
EPM,CAB01,IN6145,2022-04-20,CUST55642,BRG0003,25,DUS,10690.60,IDR,BRND003,MARCKS,IN6145_BRG0003
TA,CAB06,IN6146,2022-01-27,CUST55412,BRG0003,25,DUS,10690.60,IDR,BRND003,MARCKS,IN6146_BRG0003
EPM,CAB03,IN6147,2022-02-13,CUST55555,BRG0006,4,DUS,2819.20,IDR,BRND006,"OGB & PH",IN6147_BRG0006
TA,CAB10,IN6148,2022-01-31,CUST55476,BRG0007,9,DUS,4592.10,IDR,BRND007,ETIKAL,IN6148_BRG0007
TD,CAB04,IN6149,2022-03-20,CUST55590,BRG0001,14,DUS,1169.91,IDR,BRND001,"OGB & PH",IN6149_BRG0001
TD,CAB05,IN6150,2022-05-20,CUST55651,BRG0002,5,DUS,2337.50,IDR,BRND002,ETIKAL,IN6150_BRG0002
EPM,CAB03,IN6151,2022-05-02,CUST55720,BRG0001,78,DUS,1169.91,IDR,BRND001,"OGB & PH",IN6151_BRG0001
